Gebiet;2009;2010;2011;2012;2013
Zentrum;82;82;73;56;81
Zentrum-Ost;170;153;155;148;134
Zentrum-Südost;712;701;608;588;608
Zentrum-Süd;496;500;443;412;402
Zentrum-West;440;391;352;336;378
Zentrum-Nordwest;324;285;242;232;237
Zentrum-Nord;377;363;318;323;294
Schönefeld-Abtnaundorf;1047;956;878;849;878
Schönefeld-Ost;580;605;549;536;523
Mockau-Süd;344;358;317;340;321
Mockau-Nord;694;669;599;568;524
Thekla;264;253;224;222;216
Plaig-Portitz;77;76;63;67;56
Neustadt-Neuschönefeld;1138;1142;1007;945;967
Volksmarsdorf;1164;1161;1109;1079;1136
Anger-Crottendorf;929;913;811;750;767
Sellerhausen-Stünz;566;534;493;448;453
Paunsdorf;1335;1292;1200;1112;1166
Heiterblick;109;95;97;82;86
Mölkau;197;185;164;160;148
Engelsdorf;338;325;310;263;237
Baalsdorf;54;51;42;43;35
Althen-Kleinpösna;87;70;57;46;51
Reudnitz-Thonberg;1292;1253;1172;1097;1079
Stötteritz;799;846;738;741;700
Probstheida;207;232;186;189;172
Meusdorf;197;169;170;172;141
Liebertwolkwitz;282;238;231;177;180
Holzhausen;232;204;199;195;182
Südvorstadt;1094;1022;956;899;850
Connewitz;1187;1094;986;993;993
Marienbrunn;192;169;158;136;149
Lnig;718;634;579;571;521
Dölitz-Dösen;221;205;172;184;157
Schleig;524;453;379;395;391
Plagwitz;1030;930;837;870;821
Kleinzschocher;907;848;812;708;713
Großzschocher;478;471;428;385;402
Knautkleeberg-Knauthain;166;168;140;128;115
Hartmannsdorf-Knautnaundorf;45;40;36;32;36
Schönau;421;388;403;306;291
Grünau-Ost;455;430;423;361;364
Grünau-Mitte;1125;1134;1102;1066;985
Grünau-Siedlung;99;103;102;107;80
Lausen-Grünau;1150;1022;955;906;887
Grünau-Nord;852;799;717;706;676
Miltitz;89;86;79;68;62
Lindenau;656;669;614;611;559
Altlindenau;1574;1598;1444;1370;1293
Neulindenau;512;486;455;419;385
Leutzsch;707;663;674;614;602
Böhlitz-Ehrenberg;491;482;420;421;363
Burghausen-Rückmarsdorf;139;114;113;105;102
Möckern;1078;1041;932;895;897
Wahren;389;373;286;265;326
Lützschena-Stahmeln;145;152;106;111;91
Lindenthal;243;230;189;164;182
Gohlis-Süd;925;857;740;708;711
Gohlis-Mitte;690;685;575;572;526
Gohlis-Nord;434;451;414;369;379
Eutritzsch;836;780;684;667;622
Seehausen;83;52;40;49;50
Wiederitzsch;278;262;248;219;195
Quelle: Statistik der Bundesagentur für Arbeit
Stand: 31.12.
