Gebiet;2008;2009;2010;2011;2012
Zentrum;383;397;428;455;509
Zentrum-Ost;1032;1044;1145;1277;1364
Zentrum-Südost;2198;2290;2411;2515;2734
Zentrum-Süd;3139;3251;3474;3772;4053
Zentrum-West;2745;2912;3027;3319;3490
Zentrum-Nordwest;3148;3258;3512;3718;3911
Zentrum-Nord;2130;2241;2371;2523;2744
Schönefeld-Abtnaundorf;3136;3208;3405;3762;4128
Schönefeld-Ost;2453;2367;2322;2316;2360
Mockau-Süd;1214;1204;1267;1419;1468
Mockau-Nord;3127;3101;3119;3256;3403
Thekla;1645;1682;1663;1709;1732
Plaußig-Portitz;1032;1047;1048;998;1009
Neustadt-Neuschönefeld;2188;2231;2377;2584;2860
Volksmarsdorf;1842;1825;1905;1931;2154
Anger-Crottendorf;2864;2984;3098;3281;3495
Sellerhausen-Stünz;2124;2127;2193;2265;2377
Paunsdorf;4800;4648;4716;4728;4742
Heiterblick;1669;1697;1701;1695;1700
Mölkau;2008;1998;1959;1993;1961
Engelsdorf;3185;3273;3264;3443;3512
Baalsdorf;607;609;644;656;678
Althen-Kleinpösna;843;873;858;867;876
Reudnitz-Thonberg;5180;5379;5652;6147;6673
Stötteritz;4594;4701;4912;5118;5411
Probstheida;1817;1745;1758;1766;1775
Meusdorf;1164;1148;1138;1165;1144
Liebertwolkwitz;1832;1934;1869;1851;1860
Holzhausen;2073;2077;2076;2105;2127
Südvorstadt;7381;7745;8099;8657;9199
Connewitz;5172;5368;5620;5984;6431
Marienbrunn;1520;1498;1527;1550;1602
Lößnig;2664;2679;2792;2813;2916
Dölitz-Dösen;1259;1369;1423;1508;1657
Schleußig;4031;4112;4356;4492;4660
Plagwitz;3898;4069;4309;4595;4995
Kleinzschocher;2494;2557;2713;2942;3100
Grzschocher;2681;2666;2704;2828;2900
Knautkleeberg-Knauthain;1948;1938;1926;1975;2011
Hartmannsdorf-Knautnaundorf;464;481;488;488;496
Schönau;1668;1631;1606;1518;1419
Grünau-Ost;2190;2086;2025;2053;2024
Grünau-Mitte;3246;3117;3158;3138;3133
Grünau-Siedlung;1402;1394;1405;1391;1401
Lausen-Grünau;4090;3896;3817;3863;3817
Grünau-Nord;2446;2401;2428;2424;2514
Miltitz;852;853;827;838;844
Lindenau;1481;1591;1828;2033;2189
Altlindenau;3737;3765;3993;4355;4727
Neulindenau;1626;1681;1729;1826;1935
Leutzsch;2897;2916;3062;3147;3408
Böhlitz-Ehrenberg;3384;3438;3498;3559;3620
Burghausen-Rückmarsdorf;1818;1806;1808;1818;1813
Möckern;3935;3955;4017;4181;4422
Wahren;1981;1976;2044;2128;2211
Lützschena-Stahmeln;1534;1527;1546;1491;1526
Lindenthal;2221;2273;2344;2407;2484
Gohlis-Süd;5548;5799;6060;6504;6776
Gohlis-Mitte;5280;5442;5629;5957;6341
Gohlis-Nord;2222;2232;2326;2397;2450
Eutritzsch;3500;3764;3947;4255;4545
Seehausen;933;937;954;965;1026
Wiederitzsch;3218;3181;3156;3179;3242
Quelle: Statistik der Bundesagentur für Arbeit
Stand: 30.06.
